Method,N,Running time,Standard deviation
BinarySearch,100000,3.1707103607777773e-06,1.284774451560363e-07
BinarySearch,250000,3.140684329611113e-06,1.5851833640304524e-07
BinarySearch,500000,3.236908825244445e-06,6.0774436671382e-08
BinarySearch,750000,3.288163745144444e-06,1.9666421495493968e-07
BinarySearch,1000000,3.288732941544438e-06,9.716463253291962e-08
BinarySearch,2000000,3.434038070088892e-06,1.076497705845259e-07
BinarySearch,3000000,3.560950376022222e-06,1.0634076620918826e-07
BinarySearch,4000000,3.6901177262888825e-06,9.190294998777262e-08
BinarySearch,5000000,3.84106276974445e-06,6.150365201820753e-08
Tabulation,100000,3.053990867611113e-06,4.803770669514669e-08
Tabulation,250000,3.231171483755558e-06,3.9821173753966075e-07
Tabulation,500000,3.122421459911119e-06,1.9867208412684237e-07
Tabulation,750000,3.137639491311115e-06,1.4729352790899682e-07
Tabulation,1000000,3.1668678376555415e-06,6.578854950915967e-08
Tabulation,2000000,3.2731927217444336e-06,8.287933517398862e-08
Tabulation,3000000,3.3937024241666627e-06,4.7115986235131613e-08
Tabulation,4000000,3.5106263846000224e-06,1.612155876932421e-07
Tabulation,5000000,3.540822497299996e-06,7.258059256960101e-08
